Code,Label
HFA_63,"Probability of dying before age 5 per 1000 live births, females"
HFA_64,"Estimated probability of dying before age 5, per 1000 live births (world health report)"
HFA_67,"Disability-adjusted life expectancy, by sex"
HFA_68,"Disability-adjusted life expectancy, males"
HFA_69,"Disability-adjusted life expectancy, females"
HFA_70,"Estimated life expectancy at birth, by sex"
HFA_71,"Estimated life expectancy at birth, males"
HFA_72,"Estimated life expectancy at birth, females"
HFA_73,Estimated infant mortality per 1000 live births (world health report)
HFA_74,"Infant deaths per 1000 live births, by sex"
HFA_75,"Infant deaths per 1000 live births, males"
HFA_76,"Infant deaths per 1000 live births, females"
HFA_77,Neonatal deaths per 1000 live births
HFA_78,Early neonatal deaths per 1000 live births
HFA_79,Number of early neonatal deaths
HFA_80,Late neonatal deaths per 1000 live births
HFA_81,Postneonatal deaths per 1000 live births
HFA_82,Fetal deaths per 1000 births
HFA_83,Number of dead-born fetuses
HFA_84,Perinatal deaths per 1000 births
HFA_85,Number of deadborn fetuses with a birth weight of 1000 g or more
HFA_86,Number of early neonatal deaths with a birth weight of 1000 g or more
HFA_87,Number of live births with a birth weight of 1000 g or more
HFA_88,Perinatal deaths national criteria per 1000 births
HFA_89,Perinatal deaths 1000+g per 1000 births
HFA_90,"Maternal deaths per 100 000 live births, max of cod and clinical data"
HFA_91,"Maternal deaths, abortion, per 100 000 live births"
HFA_92,"Maternal deaths, haemorrhage, per 100 000 live births"
HFA_93,"Maternal deaths, gestational (pregnancy-induced) hypertension and hyperemesis, per 100 000 live births"
HFA_94,"Maternal deaths, puerperium, per 100 000 live births"
HFA_95,Maternal deaths per 100 000 live births according to clinical data
HFA_96,"Maternal deaths, cause of death data per 100 000 live births"
HFA_97,Estimated maternal mortality per 100 000 live births (WHO/UNICEFF/UNFPA estimates)
HFA_98,"Diseases of circulatory system, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_99,"Diseases of circulatory system, 0–64, per 100 000, males (age-standardized death rate)"
HFA_100,"Diseases of circulatory system, 0–64, per 100 000, females (age-standardized death rate)"
HFA_101,"Diseases of circulatory system, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_102,"Diseases of circulatory system, all ages, per 100 000, males (age-standardized death rate)"
HFA_103,"Diseases of circulatory system, all ages, per 100 000, females (age-standardized death rate)"
HFA_104,"Diseases of circulatory system, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_105,"Diseases of circulatory system, 65+, per 100 000, males (age-standardized death rate)"
HFA_106,"Diseases of circulatory system, 65+, per 100 000, females (age-standardized death rate)"
HFA_107,"Ischaemic heart disease, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_108,"Ischaemic heart disease, 0–64, per 100 000, males (age-standardized death rate)"
HFA_109,"Ischaemic heart disease, 0–64, per 100 000, females (age-standardized death rate)"
HFA_110,"Ischaemic heart disease, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_111,"Ischaemic heart disease, all ages, per 100 000, males (age-standardized death rate)"
HFA_112,"Ischaemic heart disease, all ages, per 100 000, females (age-standardized death rate)"
HFA_113,"Ischaemic heart disease, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_114,"Ischaemic heart disease, 65+, per 100 000, males (age-standardized death rate)"
HFA_115,"Ischaemic heart disease, 65+, per 100 000, females (age-standardized death rate)"
HFA_116,"Cerebrovascular diseases, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_117,"Cerebrovascular diseases, 0–64, per 100 000, males (age-standardized death rate)"
HFA_118,"Cerebrovascular diseases, 0–64, per 100 000,females (age-standardized death rate)"
HFA_119,"Cerebrovascular diseases, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_120,"Cerebrovascular diseases, all ages, per 100 000, males (age-standardized death rate)"
HFA_121,"Cerebrovascular diseases, all ages, per 100 000, females (age-standardized death rate)"
HFA_122,"Cerebrovascular diseases, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_123,"Cerebrovascular diseases, 65+, per 100 000, males (age-standardized death rate)"
HFA_124,"Cerebrovascular diseases, 65+, per 100 000, females (age-standardized death rate)"
HFA_125,"Malignant neoplasms, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_126,"Malignant neoplasms, 0–64, per 100 000, males (age-standardized death rate)"
HFA_127,"Malignant neoplasms, 0–64, per 100 000, females (age-standardized death rate)"
HFA_128,"Malignant neoplasms, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_129,"Malignant neoplasms, all ages, per 100 000, males (age-standardized death rate)"
HFA_130,"Malignant neoplasms, all ages, per 100 000, females (age-standardized death rate)"
HFA_131,"Malignant neoplasms, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_132,"Malignant neoplasms, 65+, per 100 000, males (age-standardized death rate)"
HFA_133,"Malignant neoplasms, 65+, per 100 000, females (age-standardized death rate)"
HFA_134,"Trachea/bronchus/lung cancer, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_135,"Trachea/bronchus/lung cancer, 0–64, per 100 000, males (age-standardized death rate)"
HFA_136,"Trachea/bronchus/lung cancer, 0–64, per 100 000, females (age-standardized death rate)"
HFA_137,"Trachea/bronchus/lung cancer, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_138,"Trachea/bronchus/lung cancer, all ages, per 100 000, males (age-standardized death rate)"
HFA_139,"Trachea/bronchus/lung cancer, all ages, per 100 000, females (age-standardized death rate)"
HFA_140,"Trachea/bronchus/lung cancer, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_141,"Trachea/bronchus/lung cancer, 65+, per 100 000, males (age-standardized death rate)"
HFA_142,"Trachea/bronchus/lung cancer, 65+, per 100 000, females (age-standardized death rate)"
HFA_143,"Cancer of the cervix uteri, 0–64, per 100 000 (age-standardized death rate)"
HFA_144,"Cancer of the cervix uteri, all ages, per 100 000 (age-standardized death rate)"
HFA_145,"Cancer of the cervix uteri, 65+, per 100 000 (age-standardized death rate)"
HFA_146,"Malignant neoplasm female breast, 0–64, per 100 000 (age-standardized death rate)"
HFA_147,"Malignant neoplasm female breast, all ages, per 100 000 (age-standardized death rate)"
HFA_148,"Malignant neoplasm female breast, 65+, per 100 000 (age-standardized death rate)"
HFA_149,"External causes of injury and poisoning, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_150,"External causes of injury and poisoning, 0–64, per 100 000, males (age-standardized death rate)"
HFA_151,"External causes of injury and poisoning, 0–64, per 100 000, females (age-standardized death rate)"
HFA_152,"External causes of injury and poisoning, 0–4 (age-standardized death rate)"
HFA_153,"External causes of injury and poisoning, 0–4, males (age-standardized death rate)"
HFA_154,"External causes of injury and poisoning, 0–4, females (age-standardized death rate)"
HFA_155,"External causes of injury and poisoning, 5–19 (age-standardized death rate)"
HFA_156,"External causes of injury and poisoning, 5–19, males (age-standardized death rate)"
HFA_157,"External causes of injury and poisoning, 5–19, females (age-standardized death rate)"
HFA_158,"External causes of injury and poisoning, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_159,"External causes of injury and poisoning, all ages, per 100 000, males (age-standardized death rate)"
HFA_160,"External causes of injury and poisoning, all ages, per 100 000, females (age-standardized death rate)"
HFA_161,"External causes of injury and poisoning, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_162,"External causes of injury and poisoning, 65+, per 100 000, males (age-standardized death rate)"
HFA_163,"External causes of injury and poisoning, 65+, per 100 000, females (age-standardized death rate)"
HFA_164,"Motor vehicle traffic accidents, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_165,"Motor vehicle traffic accidents, 0–64, per 100 000, males (age-standardized death rate)"
HFA_166,"Motor vehicle traffic accidents, 0–64, per 100 000, females (age-standardized death rate)"
HFA_167,"Motor vehicle traffic accidents, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_168,"Motor vehicle traffic accidents, all ages, per 100 000, males (age-standardized death rate)"
HFA_169,"Motor vehicle traffic accidents, all ages, per 100 000, females (age-standardized death rate)"
HFA_170,"Motor vehicle traffic accidents, 65+, per 100 000, by sex0 (age-standardized death rate)"
HFA_171,"Motor vehicle traffic accidents, 65+, per 100 000, males (age-standardized death rate)"
HFA_172,"Motor vehicle traffic accidents, 65+, per 100 000, females (age-standardized death rate)"
HFA_173,"Suicide and self-inflicted injury, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_174,"Suicide and self-inflicted injury, 0–64, per 100 000, males (age-standardized death rate)"
HFA_175,"Suicide and self-inflicted injury, 0–64, per 100 000, females (age-standardized death rate)"
HFA_176,"Suicide and self-inflicted injury, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_177,"Suicide and self-inflicted injury, all ages, per 100 000, males (age-standardized death rate)"
HFA_178,"Suicide and self-inflicted injury, all ages, per 100 000, females (age-standardized death rate)"
HFA_179,"Suicide and self-inflicted injury, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_180,"Suicide and self-inflicted injury, 65+, per 100 000, males (age-standardized death rate)"
HFA_181,"Suicide and self-inflicted injury, 65+, per 100 000, females (age-standardized death rate)"
HFA_182,"Homicide and intentional injury, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_183,"Homicide and intentional injury, 0–64, per 100 000, males (age-standardized death rate)"
HFA_184,"Homicide and intentional injury, 0–64, per 100 000, females (age-standardized death rate)"
HFA_185,"Homicide and intentional injury, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_186,"Homicide and intentional injury, all ages, per 100 000, males (age-standardized death rate)"
HFA_187,"Homicide and intentional injury, all ages, per 100 000, females (age-standardized death rate)"
HFA_188,"Homicide and intentional injury, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_189,"Homicide and intentional injury, 65+, per 100 000, males (age-standardized death rate)"
HFA_190,"Homicide and intentional injury, 65+, per 100 000, females (age-standardized death rate)"
HFA_191,"Transport accidents, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_192,"Transport accidents, all ages, per 100 000, males (age-standardized death rate)"
HFA_193,"Transport accidents, all ages, per 100 000, females (age-standardized death rate)"
HFA_194,"All causes, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_195,"All causes, all ages, per 100 000, males (age-standardized death rate)"
HFA_196,"All causes, all ages, per 100 000, females (age-standardized death rate)"
HFA_197,"All causes, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_198,"All causes, 0–64, per 100 000, males (age-standardized death rate)"
HFA_199,"All causes, 0–64, per 100 000, females (age-standardized death rate)"
HFA_200,"All causes, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_201,"All causes, 65+, per 100 000, males (age-standardized death rate)"
HFA_202,"All causes, 65+, per 100 000, females (age-standardized death rate)"
HFA_203,"Infectious and parasitic diseases, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_204,"Infectious and parasitic diseases, all ages, per 100 000, males (age-standardized death rate)"
HFA_205,"Infectious and parasitic diseases, all ages, per 100 000, females (age-standardized death rate)"
HFA_206,"Infectious and parasitic diseases, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_207,"Infectious and parasitic diseases, 0–64, per 100 000, males (age-standardized death rate)"
HFA_208,"Infectious and parasitic diseases, 0–64, per 100 000, females (age-standardized death rate)"
HFA_209,"Infectious and parasitic diseases, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_210,"Infectious and parasitic diseases, 65+, per 100 000, males (age-standardized death rate)"
HFA_211,"Infectious and parasitic diseases, 65+, per 100 000, females (age-standardized death rate)"
HFA_212,"Diseases of respiratory system, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_213,"Diseases of respiratory system, all ages, per 100 000, males (age-standardized death rate)"
HFA_214,"Diseases of respiratory system, all ages, per 100 000, females (age-standardized death rate)"
HFA_215,"Diseases of respiratory system, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_216,"Diseases of respiratory system, 0–64, per 100 000, males (age-standardized death rate)"
HFA_217,"Diseases of respiratory system, 0–64, per 100 000, females (age-standardized death rate)"
HFA_218,"Diseases of respiratory system, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_219,"Diseases of respiratory system, 65+, per 100 000, males (age-standardized death rate)"
HFA_220,"Diseases of respiratory system, 65+, per 100 000, females (age-standardized death rate)"
HFA_221,"Bronchitis/emphysema/asthma, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_222,"Bronchitis/emphysema/asthma, all ages, per 100 000, males (age-standardized death rate)"
HFA_223,"Bronchitis/emphysema/asthma, all ages, per 100 000, females (age-standardized death rate)"
HFA_224,"Bronchitis/emphysema/asthma, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_225,"Bronchitis/emphysema/asthma, 0–64, per 100 000, males (age-standardized death rate)"
HFA_226,"Bronchitis/emphysema/asthma, 0–64, per 100 000, females (age-standardized death rate)"
HFA_227,"Diseases of digestive system, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_228,"Diseases of digestive system, all ages, per 100 000, males (age-standardized death rate)"
HFA_229,"Diseases of digestive system, all ages, per 100 000, females (age-standardized death rate)"
HFA_230,"Diseases of digestive system, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_231,"Diseases of digestive system, 0–64, per 100 000, males (age-standardized death rate)"
HFA_232,"Diseases of digestive system, 0–64, per 100 000, females (age-standardized death rate)"
HFA_233,"Diseases of digestive system, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_234,"Diseases of digestive system, 65+, per 100 000, males (age-standardized death rate)"
HFA_235,"Diseases of digestive system, 65+, per 100 000, females (age-standardized death rate)"
HFA_236,"Chronic liver disease and cirrhosis, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_237,"Chronic liver disease and cirrhosis, all ages, per 100 000, males (age-standardized death rate)"
HFA_238,"Chronic liver disease and cirrhosis, all ages, per 100 000, females (age-standardized death rate)"
HFA_239,"Chronic liver disease and cirrhosis, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_240,"Chronic liver disease and cirrhosis, 0–64, per 100 000, males (age-standardized death rate)"
HFA_241,"Chronic liver disease and cirrhosis, 0–64, per 100 000, females (age-standardized death rate)"
HFA_242,"Endocrine, nutritional and metabolic diseases, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_243,"Endocrine/nutrition/metabolic disease/disorder involving immune mechanism, all ages, per 100 000, males (age-standardized death rate)"
HFA_244,"Endocrine/nutrition/metabolic disease/disorder involving immune mechanism, all ages, per 100 000, females (age-standardized death rate)"
HFA_245,"Endocrine/nutrition/metabolic disease/disorder involving immune mechanism, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_246,"Endocrine/nutrition/metabolic disease/disorder involving immune mechanism, 0–64, per 100 000, males (age-standardized death rate)"
HFA_247,"Endocrine/nutrition/metabolic disease/disorder involving immune mechanism, 0–64, per 100 000, females (age-standardized death rate)"
HFA_248,"Diabetes, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_249,"Diabetes mellitus, all ages, per 100 000, males (age-standardized death rate)"
HFA_250,"Diabetes mellitus, all ages, per 100 000, females (age-standardized death rate)"
HFA_251,"Diabetes mellitus, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_252,"Diabetes mellitus, 0–64, per 100 000, males (age-standardized death rate)"
HFA_253,"Diabetes mellitus, 0–64, per 100 000, females (age-standardized death rate)"
HFA_254,"Diseases of the blood, blood forming organs and certain immunity disorders, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_255,"Diseases of the blood, blood forming organs and certain immunity disorders, all ages, per 100 000, males (age-standardized death rate)"
HFA_256,"Diseases of the blood, blood forming organs and certain immunity disorders, all ages, per 100 000, females (age-standardized death rate)"
HFA_257,"Diseases of the blood, blood forming organs and certain immunity disorders, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_258,"Diseases of the blood, blood forming organs and certain immunity disorders, 0–64, per 100 000, males (age-standardized death rate)"
HFA_259,"Diseases of the blood, blood forming organs and certain immunity disorders, 0–64, per 100 000, females (age-standardized death rate)"
HFA_260,"Mental disorders, diseases of nervous system and sense organs, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_261,"Mental disorders, diseases of nervous system and sense organs, all ages, per 100 000, males (age-standardized death rate)"
HFA_262,"Mental disorders, diseases of nervous system and sense organs, all ages, per 100 000, females (age-standardized death rate)"
HFA_263,"Mental disorders, diseases of nervous system and sense organs, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_264,"Mental disorders, diseases of nervous system and sense organs, 0–64, per 100 000, males (age-standardized death rate)"
HFA_265,"Mental disorders, diseases of nervous system and sense organs, 0–64, per 100 000, females (age-standardized death rate)"
HFA_266,"Mental disorders, diseases of nervous system and sense organs, 65+/100 000 (age-standardized death rate)"
HFA_267,"Mental disorders, diseases of nervous system and sense organs, 65+/100 000, males (age-standardized death rate)"
HFA_268,"Mental disorders, diseases of nervous system and sense organs, 65+/100 000, females (age-standardized death rate)"
HFA_269,"Disease of genitourinary system, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_270,"Disease of genitourinary system, all ages, per 100 000, males (age-standardized death rate)"
HFA_271,"Disease of genitourinary system, all ages, per 100 000, females (age-standardized death rate)"
HFA_272,"Disease of genitourinary system, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_273,"Disease of genitourinary system, 0–64, per 100 000, males (age-standardized death rate)"
HFA_274,"Disease of genitourinary system, 0–64, per 100 000, females (age-standardized death rate)"
HFA_275,"Symptoms, signs and ill-defined conditions, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_276,"Symptoms, signs and ill defined conditions, all ages, per 100 000, males (age-standardized death rate)"
HFA_277,"Symptoms, signs and ill defined conditions, all ages, per 100 000, females (age-standardized death rate)"
HFA_278,"Symptoms, signs and ill defined conditions, 0–64, per 100 000, by sex (age-standardized death rate)"
HFA_279,"Symptoms, signs and ill defined conditions, 0–64, per 100 000, males (age-standardized death rate)"
HFA_280,"Symptoms, signs and ill defined conditions, 0–64, per 100 000, females (age-standardized death rate)"
HFA_281,"Symptoms, signs and ill defined conditions, 65+, per 100 000, by sex (age-standardized death rate)"
HFA_282,"Symptoms, signs and ill defined conditions, 65+, per 100 000, males (age-standardized death rate)"
HFA_283,"Symptoms, signs and ill defined conditions, 65+, per 100 000, females (age-standardized death rate)"
HFA_284,"Tuberculosis, all ages, per 100 000, by sex (age-standardized death rate)"
HFA_285,"Tuberculosis, all ages, per 100 000, males (age-standardized death rate)"
HFA_286,"Tuberculosis, all ages, per 100 000, females (age-standardized death rate)"
HFA_287,"Diarrhoeal diseases, under 5 years, per 100 000, by sex (age-standardized death rate)"
HFA_288,"Diarrhoeal diseases, under 5 years, per 100 000, males (age-standardized death rate)"
HFA_289,"Diarrhoeal diseases, under 5 years, per 100 000, females (age-standardized death rate)"
HFA_290,"Acute respiratory infections, pneumonia and influenza, under 5 years, per 100 000, by sex (age-standardized death rate)"
HFA_291,"Acute respiratory infections, pneumonia and influenza, under 5 years, per 100 000, males (age-standardized death rate)"
HFA_292,"Acute respiratory infections, pneumonia and influenza, under 5 years, per 100 000, females (age-standardized death rate)"
HFA_293,"Selected alcohol-related causes, per 100 000, by sex (age-standardized death rate)"
HFA_294,"Selected alcohol-related causes, per 100 000, males (age-standardized death rate)"
HFA_295,"Selected alcohol-related causes, per 100 000, females (age-standardized death rate)"
HFA_296,"Selected smoking-related causes, per 100 000, by sex (age-standardized death rate)"
HFA_297,"Selected smoking-related causes, per 100 000, males (age-standardized death rate)"
HFA_298,"Selected smoking-related causes, per 100 000, females (age-standardized death rate)"
HFA_299,"Major non-communicable diseases, 30-69 years, by sex (age-standardized death rate)"
HFA_300,"Major noncommunicable diseases, 30-69 years, males (age-standardized death rate)"
HFA_301,"Major noncommunicable diseases, 30-69 years, females (age-standardized death rate)"
HFA_302,"Digestive diseases, 30-69 years, by sex (age-standardized death rate)"
HFA_303,"Digestive diseases, 30-69 years, males (age-standardized death rate)"
HFA_304,"Digestive diseases, 30-69 years, females (age-standardized death rate)"
HFA_305,Incidence of tuberculosis per 100 000
HFA_306,Number of new tuberculosis cases
HFA_307,Estimated incidence of tuberculosis per 100 000
HFA_308,Estimated prevalence of tuberculosis per 100 000
HFA_309,Estimated mortality of tuberculosis per 100 000
HFA_310,Proportion (%) of tuberculosis cases detected under DOTS
HFA_311,Proportion (%) of tuberculosis cases cured under DOTS
HFA_312,Incidence of viral hepatitis per 100 000
HFA_313,Number of new viral hepatitis cases
HFA_314,Number of new hepatitis C cases
HFA_315,Incidence of hepatitis C per 100 000
HFA_316,Incidence of viral hepatitis A per 100 000
HFA_317,Number of new hepatitis A cases
HFA_318,Incidence of viral hepatitis B per 100 000
HFA_319,Number of new hepatitis B cases
HFA_320,Incidence of syphilis per 100 000
HFA_321,Number of new syphilis cases
HFA_322,Incidence of gonococcal infection per 100 000
HFA_323,Number of new gonococcal infection cases
HFA_324,Incidence of pertussis per 100 000
HFA_325,Number of new pertussis cases
HFA_326,Incidence of measles per 100 000
HFA_327,Number of new measles cases
HFA_328,Incidence of malaria per 100 000
HFA_329,Number of new malaria cases
HFA_330,Number of deaths from malaria
HFA_331,Incidence of diphtheria per 100 000
HFA_332,Number of new diphtheria cases
HFA_333,Incidence of tetanus per 100 000
HFA_334,Number of new tetanus cases
HFA_335,Incidence of acute poliomyelitis per 100 000
HFA_336,Number of new poliomyelitis cases
HFA_337,Incidence of congenital syphilis per 100 000
HFA_338,Number of new congenital syphilis cases
HFA_339,Incidence of congenital rubella per 100 000
HFA_340,Number of new congenital rubella cases
HFA_341,Incidence of neonatal tetanus per 100 000
HFA_342,Number of new neonatal tetanus cases
HFA_343,Incidence of rubella per 100 000
HFA_344,Number of new rubella cases
HFA_345,Incidence of mumps per 100 000
HFA_346,Number of new mumps cases
HFA_347,Rate of new AIDS cases per 100 000
HFA_348,Number of new AIDS cases
HFA_349,Rate of new HIV diagnoses per 100 000
HFA_350,Number of new HIV diagnoses
HFA_351,Incidence of Haemophilus influenzae type b invasive disease per 100 000
HFA_352,Number of new Haemophilus influenzae type b invasive disease cases
HFA_353,"Hospital discharges, infectious and parasitic diseases per 100 000"
HFA_354,"Hospital discharges, infectious and parasitic diseases"
HFA_355,"Hospital discharges, all neoplasms per 100 000"
HFA_356,"Hospital discharges, all neoplasms"
HFA_357,"Incidence of cancer per 100 000, by sex"
HFA_358,"Number of new cases of cancer, by sex"
HFA_359,"Number of new cases of cancer, males"
HFA_360,"Number of new cases of cancer, females"
HFA_361,"Incidence of cancer per 100 000, males"
HFA_362,"Incidence of cancer per 100 000, female"
HFA_363,"Prevalence of cancer (%), by sex"
HFA_364,"Number of all cases of cancer at year's end, by sex"
HFA_365,"Number of all cases cancer at year's end, males"
HFA_366,"Number of all cases cancer at year's end, females"
HFA_367,"Prevalence of cancer (%), males"
HFA_368,"Prevalence of cancer (%), females"
HFA_369,"Incidence of trachea, bronchus and lung cancer per 100 000, by sex"
HFA_370,"Number of new cases of trachea, bronchus and lung cancer, by sex"
HFA_371,"Number of new cases of trachea, bronchus and lung cancer, males"
HFA_372,"Number of new cases of trachea, bronchus and lung cancer, females"
HFA_373,"Incidence of trachea, bronchus and lung cancer per 100 000, males"
HFA_374,"Incidence of trachea, bronchus and lung cancer per 100 000, females"
HFA_375,Incidence of female breast cancer per 100 000
HFA_376,Number of new cases of female breast cancer
HFA_377,Incidence of cervix uteri cancer per 100 000
HFA_378,Number of new cases of cervix uteri cancer
HFA_379,Prevalence of diabetes mellitus (%)
HFA_380,Number of all cases of diabetes mellitus at year's end
HFA_381,Number of new cases of diabetes mellitus
HFA_382,"New cases, diabetes mellitus per 100 000"
HFA_383,Number of mental patients staying in hospitals 365+ days per 100 000
HFA_384,Number of mental patients staying in hospitals 365+ days
HFA_385,"Number of hospital discharges, mental and behavioural disorders"
HFA_386,"Hospital discharges, mental and behavioural disorders, per 100 000"
HFA_387,Incidence of mental disorders per 100 000
HFA_388,Number of new cases of mental disorders
HFA_389,Incidence of alcoholic psychosis per 100 000
HFA_390,Number of new cases of alcoholic psychosis
HFA_391,Prevalence of mental disorders (%)
HFA_392,All cases of mental disorders at year's end
HFA_393,"Hospital discharges, circulatory system disease, per 100 000"
HFA_394,"Number of hospital discharges, circulatory system disease"
HFA_395,"Hospital discharges, ischaemic heart disease, per 100 000"
HFA_396,"Number of hospital discharges, ischaemic heart disease"
HFA_398,"Hospital discharges, cerebrovascular diseases, per 100 000"
HFA_399,"Hospital discharges, cerebrovascular diseases"
HFA_401,"Hospital discharges, respiratory system diseases, per 100 000"
HFA_402,"Hospital discharges, respiratory system diseases"
HFA_403,Prevalence of chronic obstructive pulmonary disease (%)
HFA_404,Number of cases of chronic obstructive pulmonary disease
HFA_405,"Hospital discharges, digestive system diseases, per 100 000"
HFA_406,"Hospital discharges, digestive system diseases"
HFA_407,"Hospital discharges, musculoskeletal system and connective tissue diseases, per 100 000"
HFA_408,"Hospital discharges, musculoskeletal system and connective tissue diseases"
HFA_409,"Hospital discharges, injury and poisoning, per 100 000"
HFA_410,"Hospital discharges, injury and poisoning"
HFA_411,"Absenteeism from work due to illness, days per employee per year"
HFA_412,New invalidity/disability cases per 100 000
HFA_413,Number of newly recognized invalidity/disability cases
HFA_414,People receiving social/disability benefits per 100 000
HFA_415,Number of people receiving social/disability benefits
HFA_416,% of disabled people of working age engaged in regular occupational activity
HFA_417,"% population self-assessing health as good, by sex"
HFA_418,"% population self-assessing health as good, males"
HFA_419,"% population self-assessing health as good, females"
